;c;s;cr
1664;1;2;2
1665;1;1;1
1666;1;2;1
1667;2;2;1
1668;2;2;1
1669;1;2;1
1670;1;2;1
1671;1;1;1
1672;2;2;1
1673;1;1;1
1674;1;2;1
1675;2;2;1
1676;2;1;1
1677;2;1;1
1678;2;2;1
1679;2;1;2
1680;2;2;2
1681;1;2;2
1682;1;2;1
1683;1;1;1
1684;1;2;2
1685;2;1;1
1686;1;2;1
1687;2;1;1
1688;1;1;2
1689;2;1;1
1690;2;2;2
1691;2;1;2
1692;2;2;1
1693;2;1;2
1694;2;2;1
1695;1;1;1
1696;2;2;2
1697;1;1;2
1698;1;1;1
1699;2;1;2
1700;2;2;1
1701;1;1;1
1702;1;1;2
1703;2;2;1
1704;1;2;1
1705;1;1;2
1706;1;2;2
1707;2;1;2
1708;1;2;1
1709;2;1;2
1710;2;2;1
1711;1;2;2
1712;2;1;2
1713;1;2;2
1714;1;1;2
1715;2;1;2
1716;1;2;1
1717;2;2;1
1718;1;1;1
1719;2;2;2
1720;2;2;2
1721;1;2;2
1722;1;2;1
1723;2;2;2
1724;2;1;1
1725;1;2;2
1726;2;1;1
1727;2;2;2
1728;2;2;2
1729;2;2;1
1730;1;2;2
1731;1;1;1
1732;1;1;2
1733;2;2;1
1734;2;1;2
1735;1;2;1
1736;2;2;1
1737;1;1;1
1738;2;1;2
1739;1;1;2
1740;1;2;2
1741;2;1;2
1742;1;2;1
1743;2;2;1
1744;2;2;1
1745;2;1;1
1746;1;2;2
1747;2;1;1
1748;2;1;1
1749;2;1;1
1750;2;2;1
1751;2;2;2
1752;2;2;1
1753;2;1;2
1754;2;2;1
1755;2;1;1
1756;1;2;1
1757;1;2;2
1758;2;1;1
1759;2;2;2
1760;1;2;2
1761;1;2;1
1762;1;1;2
1763;2;1;1
1764;2;1;1
1765;1;1;1
1766;1;1;1
1767;1;1;1
1768;1;2;2
1769;2;1;1
1770;1;1;1
1771;1;2;2
1772;2;1;1
1773;1;1;1
1774;1;2;1
1775;2;2;2
1776;2;1;1
1777;2;1;2
1778;2;2;2
1779;2;2;2
1780;1;2;2
1781;1;2;2
1782;2;2;1
1783;2;1;1
1784;2;2;1
1785;1;2;1
1786;2;2;1
1787;1;2;1
1788;1;2;2
1789;1;2;1
1790;1;1;1
1791;1;1;1
1792;1;2;1
1793;2;2;1
1794;2;1;2
1795;2;2;1
1796;2;2;2
1797;1;1;1
1798;2;1;2
1799;1;2;2
1800;2;1;1
1801;2;2;2
1802;1;2;2
1803;1;2;1
1804;1;1;1
1805;2;2;2
1806;1;2;2
1807;2;1;2
1808;2;2;1
1809;1;2;1
1810;2;2;2
1811;2;1;1
1812;2;2;1
1813;2;2;1
1814;1;2;2
1815;2;2;1
1816;1;1;1
1817;2;2;1
1818;2;1;1
1819;1;2;1
1820;2;2;2
1821;2;2;1
1822;1;1;1
1823;1;1;1
1824;2;1;1
1825;2;1;1
1826;2;1;1
1827;1;2;2
1828;2;1;2
1829;1;1;1
1830;2;2;1
1831;2;2;2
1832;2;2;2
1833;1;1;1
1834;1;1;2
1835;2;2;2
1836;1;1;1
1837;2;2;1
1838;2;2;1
1839;1;1;2
1840;1;2;1
1841;1;1;1
1842;2;1;2
1843;2;2;1
1844;2;1;1
1845;2;1;1
1846;2;1;1
1847;1;2;1
1848;2;2;2
1849;1;1;1
1850;2;2;1
1851;1;2;2
1852;2;1;2
1853;2;1;2
1854;2;1;1
1855;2;2;2
1856;1;2;1
1857;1;2;2
1858;2;1;2
1859;1;1;2
1860;1;1;2
1861;1;2;1
1862;2;1;1
1863;2;1;1
1864;2;1;2
1865;2;1;1
1866;2;2;1
1867;1;1;2
1868;2;1;1
1869;1;2;2
1870;2;1;1
1871;1;2;1
1872;2;1;2
1873;1;2;2
1874;2;1;1
1875;2;1;2
1876;2;2;1
1877;1;2;2
1878;1;2;1
1879;2;1;1
1880;2;1;1
1881;2;2;1
1882;2;1;1
1883;1;2;2
1884;1;2;1
1885;2;1;1
1886;1;2;2
1887;2;2;2
1888;1;2;1
1889;1;2;2
1890;2;2;1
1891;2;1;2
1892;1;1;2
1893;1;1;1
1894;2;2;2
1895;1;1;2
1896;2;1;2
1897;2;2;2
1898;2;2;1
1899;2;2;1
1900;1;1;1
1901;2;2;2
1902;1;1;1
1903;1;2;2
1904;2;2;2
1905;1;2;2
1906;2;1;2
1907;2;1;1
1908;2;1;2
1909;1;2;2
1910;1;2;2
1911;2;1;2
1912;2;1;1
1913;1;1;2
1914;1;1;1
1915;2;1;2
1916;1;2;1
1917;1;1;1
1918;2;1;2
1919;1;2;2
1920;1;1;1
1921;2;2;1
1922;2;1;1
1923;1;1;2
1924;2;2;2
1925;1;1;2
1926;2;2;1
1927;2;1;1
1928;2;1;2
1929;2;1;1
1930;2;2;2
1931;1;1;1
1932;2;2;1
1933;1;1;2
1934;2;2;1
1935;2;2;1
1936;2;2;1
1937;2;2;1
1938;2;1;2
1939;1;1;1
1940;1;2;2
1941;1;1;2
1942;2;2;2
1943;2;2;2
1944;2;1;1
1945;1;2;2
1946;1;1;2
1947;2;1;2
1948;1;2;1
1949;1;2;2
1950;2;2;1
1951;1;1;2
1952;2;1;2
1953;2;2;2
1954;1;2;1
1955;2;2;1
1956;1;2;1
1957;1;1;1
1958;2;2;2
1959;2;1;1
1960;1;1;1
1961;1;1;1
1962;1;2;2
1963;2;1;1
1964;1;1;2
1965;2;2;2
1966;1;1;1
1967;1;1;1
1968;2;2;1
1969;1;2;2
1970;2;1;1
1971;1;2;2
1972;1;1;2
1973;2;1;2
1974;1;2;1
1975;1;1;2
1976;1;2;2
1977;1;2;1
1978;1;1;2
1979;1;2;1
1980;2;2;2
1981;1;2;1
1982;1;2;2
1983;1;1;1
1984;1;1;2
1985;1;1;2
1986;1;1;2
1987;2;2;1
1988;1;2;1
1989;1;2;1
1990;2;2;2
1991;2;1;2
1992;2;1;2
1993;1;1;2
1994;1;2;2
1995;1;1;2
1996;1;1;2
1997;2;2;1
1998;2;1;2
1999;2;2;2
2000;1;1;1
2001;1;1;1
2002;2;1;1
2003;2;2;1
2004;1;1;2
2005;2;2;1
2006;1;1;1
2007;1;2;2
2008;2;2;1
2009;2;1;1
2010;1;1;2
2011;1;2;2
2012;1;1;1
2013;1;2;2
2014;1;2;2
2015;2;2;2
2016;2;2;2
2017;1;1;2
2018;2;2;2
2019;2;2;2
2020;1;2;1
2021;2;1;2
2022;2;2;1
2023;2;1;2
2024;1;2;1
2025;1;1;2
2026;1;1;1
2027;1;1;2
2028;1;1;2
2029;2;1;2
2030;1;2;2
2031;2;2;2
2032;1;1;2
2033;1;1;2
2034;1;1;2
2035;2;2;1
2036;2;2;2
2037;1;2;2
2038;1;1;2
2039;2;1;1
2040;2;2;2
2041;2;2;2
2042;2;1;2
2043;1;1;1
2044;2;2;1
2045;1;2;2
2046;2;1;2
2047;1;2;2
2048;1;2;1
2049;2;1;1
2050;1;1;2
2051;2;1;1
2052;1;2;1
2053;1;2;2
2054;1;2;1
2055;2;1;2
2056;2;2;1
2057;1;2;1
2058;2;2;2
2059;2;1;2
2060;2;2;1
2061;1;2;2
2062;2;2;2
2063;1;1;2
2064;2;1;2
2065;2;1;2
2066;2;2;2
2067;1;1;2
2068;1;1;1
2069;2;2;1
2070;1;2;1
2071;1;1;1
2072;2;2;2
2073;1;2;1
2074;1;2;2
2075;2;2;2
2076;2;2;2
2077;2;1;1
2078;2;1;1
2079;2;1;2
2080;1;1;1
2081;1;1;1
2082;2;1;2
2083;2;2;2
2084;2;2;2
2085;2;2;2
2086;1;1;1
2087;1;2;1
2088;2;2;2
2089;2;2;1
2090;2;1;2
2091;2;2;2
2092;2;2;2
2093;1;2;1
2094;1;1;2
2095;2;2;2
2096;2;2;1
2097;2;2;2
2098;1;2;2
2099;2;1;1
2100;1;1;1
2101;1;2;2
2102;1;2;2
2103;2;2;2
2104;1;2;2
2105;2;2;2
2106;2;1;2
2107;2;1;2
2108;2;2;1
2109;1;1;2
2110;2;2;1
2111;2;2;2
2112;1;2;2
2113;1;1;1
2114;1;1;2
2115;2;1;2
2116;2;2;1
2117;1;1;1
2118;2;2;2
2119;2;1;1
2120;1;1;1
2121;1;1;1
2122;2;2;1
2123;2;1;2
2124;1;1;1
2125;2;1;2
2126;2;2;1
2127;1;1;1
2128;1;2;2
2129;2;2;2
2130;2;2;1
2131;2;1;2
2132;2;1;2
2133;2;2;1
2134;2;1;1
2135;2;2;2
2136;1;2;1
2137;1;2;1
2138;1;1;2
2139;2;2;1
2140;2;2;1
2141;2;2;2
2142;1;2;1
2143;2;1;2
2144;2;1;2
2145;1;1;2
2146;1;1;1
2147;2;1;2
2148;1;1;2
2149;1;1;2
2150;1;2;1
2151;1;2;2
2152;1;1;2
2153;1;2;2
2154;1;2;2
2155;1;1;2
2156;2;1;2
2157;2;1;2
2158;2;1;1
2159;1;2;1
2160;2;1;1
2161;1;2;2
2162;1;2;2
2163;2;2;1
2164;2;2;1
2165;2;2;1
2166;1;1;2
2167;1;1;2
2168;2;2;2
2169;2;2;1
2170;1;2;2
2171;2;2;2
2172;2;2;1
2173;2;2;2
2174;1;2;1
2175;2;1;2
2176;1;1;2
2177;1;2;1
2178;1;1;1
2179;2;1;2
2180;2;2;2
2181;2;2;1
2182;2;2;1
2183;1;2;2
2184;1;1;1
2185;2;1;1
2186;2;2;2
2187;2;2;1
2188;2;2;2
2189;1;2;2
2190;2;1;1
2191;2;1;2
2192;1;2;1
2193;2;1;2
2194;1;1;2
2195;2;1;2
2196;1;1;1
2197;1;1;2
2198;2;1;2
2199;1;1;1
2200;1;2;2
2201;2;1;2
2202;2;2;1
2203;1;2;1
2204;1;2;1
2205;1;2;1
2206;1;2;1
2207;2;2;1
2208;1;2;2
2209;1;1;1
2210;2;2;2
2211;2;2;1
2212;1;1;1
2213;2;1;2
2214;1;2;2
2215;2;2;2
2216;2;1;1
2217;2;2;2
2218;1;1;2
2219;1;2;1
2220;1;2;1
2221;1;2;2
2222;1;2;1
2223;2;2;2
2224;2;2;1
2225;2;1;2
2226;1;2;1
2227;2;2;2
2228;1;1;1
2229;2;2;2
2230;1;1;1
2231;2;2;2
2232;2;2;2
2233;2;1;2
2234;2;1;2
2235;1;1;2
2236;2;2;1
2237;1;2;2
2238;2;1;2
2239;1;1;2
2240;2;1;1
2241;2;1;2
2242;1;2;2
2243;1;1;2
2244;1;2;2
2245;2;1;1
2246;2;1;2
2247;2;2;1
2248;1;2;1
2249;2;2;2
2250;1;1;2
2251;1;1;2
2252;1;1;2
2253;1;2;2
2254;2;1;1
2255;2;2;2
2256;2;2;2
2257;2;2;1
2258;2;2;2
2259;2;1;2
2260;2;1;2
2261;1;2;2
2262;2;1;1
2263;1;2;2
2264;1;2;1
2265;1;1;2
2266;2;2;1
2267;1;2;1
2268;1;1;1
2269;2;2;1
2270;2;2;2
2271;1;2;1
2272;1;1;2
2273;2;2;1
2274;2;1;2
2275;2;2;2
2276;1;2;2
2277;2;1;1
2278;2;2;2
2279;2;1;1
2280;2;1;2
2281;1;2;1
2282;1;2;2
2283;1;2;2
2284;1;2;1
2285;1;1;2
2286;2;2;2
2287;1;2;2
2288;2;1;1
2289;1;1;2
2290;1;2;2
2291;2;2;2
2292;1;2;2
2293;2;1;2
2294;2;2;1
2295;1;1;2
2296;1;2;2
2297;2;1;2
2298;1;2;2
2299;2;1;2
2300;1;2;2
2301;2;2;2
2302;1;1;2
2303;2;1;2
2304;2;2;1
2305;2;2;1
2306;1;2;2
2307;1;2;1
2308;1;2;1
2309;2;2;2
2310;2;1;2
2311;2;2;1
2312;1;2;1
2313;2;1;2
2314;2;2;2
2315;2;2;1
2316;2;2;1
2317;2;2;2
2318;1;1;1
2319;2;1;2
2320;1;1;2
2321;1;1;1
2322;2;1;1
2323;1;2;1
2324;2;2;2
2325;1;2;2
2326;1;1;1
2327;1;1;1
2328;1;1;1
2329;1;2;2
2330;1;1;1
2331;2;1;1
2332;2;1;1
2333;2;2;2
2334;1;2;2
2335;1;2;2
2336;2;1;2
2337;2;2;1
2338;1;2;1
2339;2;1;1
2340;2;2;2
2341;2;1;1
2342;1;2;2
2343;2;2;1
2344;1;2;2
2345;1;1;2
2346;2;1;1
2347;1;1;1
2348;1;1;2
2349;1;1;2
2350;2;2;1
2351;2;2;2
2352;1;2;1
2353;2;2;2
2354;2;1;2
2355;1;1;2
2356;1;2;2
2357;1;1;2
2358;1;2;1
2359;2;2;1
2360;2;2;1
2361;2;1;1
2362;2;1;2
2363;1;1;2
2364;1;1;2
2365;1;1;2
2366;1;1;2
2367;2;2;1
2368;2;2;1
2369;1;1;2
2370;2;1;2
2371;1;1;2
2372;1;1;1
2373;1;1;2
2374;1;2;1
2375;2;2;1
2376;2;2;1
2377;2;1;1
2378;1;2;2
2379;2;2;2
2380;2;2;2
2381;1;1;2
2382;1;1;2
2383;2;2;2
2384;1;2;1
2385;2;2;1
2386;2;2;1
2387;2;2;2
2388;2;2;1
2389;1;1;1
2390;1;1;2
2391;1;1;2
2392;1;1;1
2393;2;1;2
2394;2;2;2
2395;1;2;2
2396;2;2;2
2397;2;1;2
2398;2;1;2
2399;2;1;2
2400;2;1;2
2401;2;1;1
2402;2;2;2
2403;1;2;2
2404;2;1;2
2405;2;1;1
2406;1;1;1
2407;2;1;2
2408;1;1;1
2409;1;1;2
2410;1;2;2
2411;1;1;1
2412;1;2;2
2413;1;1;1
2414;2;2;1
2415;1;1;1
2416;2;1;1
2417;1;1;2
2418;2;2;2
2419;2;2;1
2420;1;2;1
2421;1;2;2
2422;2;2;1
2423;1;1;2
2424;1;1;2
2425;1;2;1
2426;1;2;1
2427;1;2;2
2428;2;2;1
2429;2;1;1
2430;2;2;1
2431;1;1;1
2432;1;1;2
2433;1;2;2
2434;2;1;1
2435;2;1;1
2436;1;1;2
2437;1;2;2
2438;2;1;2
2439;1;2;2
2440;1;1;2
2441;1;1;2
2442;1;1;2
2443;1;2;2
2444;2;2;2
2445;1;1;1
2446;1;1;2
2447;1;1;2
2448;1;1;2
2449;2;2;2
2450;2;1;1
2451;1;2;1
2452;1;1;2
2453;2;1;2
2454;2;2;2
2455;1;2;2
2456;2;2;1
2457;2;1;1
2458;1;1;2
2459;2;2;2
2460;2;1;2
2461;2;2;1
2462;2;2;2
2463;2;1;1
2464;1;1;2
2465;2;2;1
2466;2;2;2
2467;1;2;2
2468;1;2;2
2469;1;2;2
2470;1;1;1
2471;2;1;2
2472;1;1;1
2473;2;2;2
2474;2;2;2
2475;1;1;1
2476;1;2;1
2477;1;2;2
2478;1;2;2
2479;2;1;2
2480;1;1;1
2481;2;2;2
2482;1;1;1
2483;2;2;2
2484;1;1;2
2485;2;1;1
2486;1;1;1
2487;2;2;2
2488;1;2;2
2489;2;1;1
2490;2;1;1
2491;2;2;1
2492;1;1;1
2493;2;1;1
2494;1;2;2
2495;2;1;1
2496;2;2;2
2497;2;2;1
2498;2;1;2
2499;2;2;1
2500;1;1;1
2501;2;1;2
2502;1;1;2
2503;2;1;1
2504;2;1;2
2505;2;2;1
2506;2;2;2
2507;2;1;2
2508;1;1;2
2509;1;2;1
2510;1;2;2
2511;2;1;1
2512;1;1;1
2513;1;2;1
2514;1;2;2
2515;2;1;1
2516;2;1;2
2517;2;1;1
2518;1;1;1
2519;1;1;2
2520;2;2;1
2521;2;2;2
2522;1;2;1
2523;1;1;1
2524;1;1;2
2525;1;1;2
2526;1;2;1
2527;2;2;1
2528;1;2;1
2529;2;2;2
2530;1;1;2
2531;1;2;2
2532;1;1;2
2533;2;2;2
2534;1;2;1
2535;1;2;2
2536;1;1;1
2537;2;1;2
2538;2;1;1
2539;1;1;1
2540;2;1;1
2541;2;1;2
2542;2;1;2
2543;2;1;1
2544;1;1;2
2545;1;2;2
2546;2;2;2
2547;2;2;2
2548;2;2;2
2549;1;1;2
2550;1;2;1
2551;1;1;1
2552;2;2;1
2553;2;1;2
2554;2;1;2
2555;2;1;1
2556;1;1;1
2557;2;1;1
2558;1;2;2
2559;2;1;2
2560;1;1;2
2561;2;1;1
2562;2;1;1
2563;1;1;1
2564;2;1;2
2565;2;1;2
2566;2;2;2
2567;1;1;1
2568;1;1;2
2569;1;2;1
2570;1;2;2
2571;1;2;1
2572;2;1;2
2573;1;1;2
2574;2;2;2
2575;2;2;1
2576;1;1;1
2577;1;1;1
2578;2;1;1
2579;1;1;2
2580;1;2;1
2581;1;1;1
2582;1;2;2
2583;2;1;2
2584;2;1;1
2585;2;1;2
2586;1;1;2
2587;1;1;2
2588;1;2;2
2589;1;1;1
2590;2;2;2
2591;1;2;1
2592;2;2;2
2593;2;2;2
2594;2;1;2
2595;2;2;2
2596;1;2;2
2597;2;1;2
2598;1;1;1
2599;2;2;2
2600;2;2;1
2601;2;1;2
2602;2;2;1
2603;2;2;1
2604;1;2;2
2605;1;1;1
2606;1;1;2
2607;1;1;1
2608;2;2;2
2609;1;2;1
2610;2;2;2
2611;2;2;2
2612;2;1;1
2613;1;2;1
2614;2;2;1
2615;2;1;1
2616;2;1;2
2617;2;2;1
2618;1;1;2
2619;1;1;1
2620;2;2;2
2621;1;2;2
2622;2;2;2
2623;2;1;1
2624;1;1;2
2625;2;2;2
2626;2;2;2
2627;2;2;1
2628;1;1;1
2629;2;1;1
2630;2;1;1
2631;2;2;2
2632;1;1;1
2633;1;1;2
2634;1;1;2
2635;2;1;1
2636;2;2;2
2637;2;2;1
2638;1;1;2
2639;2;1;2
2640;2;1;1
2641;2;2;2
2642;1;1;2
2643;1;2;1
2644;1;1;1
2645;1;1;2
2646;2;2;2
2647;1;2;2
2648;2;1;2
2649;2;1;2
2650;1;2;1
2651;2;1;2
2652;1;2;2
2653;2;1;2
2654;2;2;2
2655;2;2;2
2656;1;2;2
2657;1;2;2
2658;2;1;2
2659;1;1;2
2660;1;1;1
2661;1;2;1
2662;1;2;2
2663;2;2;1
2664;1;1;2
2665;1;2;1
2666;1;2;1
2667;1;1;1
2668;1;1;2
2669;2;2;1
2670;2;1;1
2671;2;2;2
2672;1;1;1
2673;1;2;2
2674;1;2;2
2675;2;2;1
2676;1;1;1
2677;1;2;1
2678;1;1;1
2679;2;1;1
2680;1;2;2
2681;1;2;1
2682;2;1;2
2683;2;1;2
2684;1;2;2
2685;1;2;1
2686;2;1;2
2687;1;1;2
2688;1;1;1
2689;1;2;2
2690;1;1;1
2691;2;2;1
2692;1;1;2
2693;1;1;1
2694;1;1;2
2695;1;1;1
2696;1;1;2
2697;1;2;2
2698;2;2;1
2699;2;1;1
2700;2;1;2
2701;1;2;2
2702;1;1;1
2703;1;1;1
2704;2;1;1
2705;1;1;1
2706;2;2;2
2707;2;1;2
2708;1;1;1
2709;2;1;1
2710;1;1;1
2711;1;2;1
2712;1;2;1
2713;2;2;2
2714;2;2;1
2715;1;2;1
2716;1;1;2
2717;1;1;2
2718;1;1;1
2719;2;2;2
2720;1;1;2
2721;2;2;2
2722;1;1;2
2723;1;1;1
2724;1;1;1
2725;2;1;2
2726;2;2;2
2727;1;1;2
2728;1;2;1
2729;1;2;1
2730;1;2;2
2731;1;1;2
2732;1;2;1
2733;2;2;2
2734;2;1;2
2735;1;1;1
2736;2;1;1
2737;1;2;2
2738;1;1;2
2739;2;1;2
2740;2;2;2
2741;1;2;1
2742;1;2;1
2743;1;1;1
2744;2;1;2
2745;1;2;1
2746;2;2;1
2747;2;2;2
2748;1;2;1
2749;2;2;1
2750;2;2;2
2751;2;1;2
2752;2;1;2
2753;2;1;1
2754;1;2;2
2755;2;2;1
2756;1;2;1
2757;2;2;1
2758;2;2;1
2759;1;1;2
2760;1;1;2
2761;2;2;1
2762;2;2;1
2763;1;1;2
2764;2;1;2
2765;1;1;1
2766;2;1;1
2767;1;1;2
2768;1;1;2
2769;2;1;2
2770;2;1;1
2771;2;1;1
2772;2;2;2
2773;2;1;2
2774;1;2;2
2775;2;2;1
2776;2;2;2
2777;2;1;1
2778;1;2;1
2779;2;1;1
2780;2;2;2
2781;2;1;2
2782;1;2;1
2783;2;2;2
2784;1;2;2
2785;2;1;2
2786;1;2;2
2787;2;2;1
2788;1;2;1
2789;2;2;2
2790;1;2;1
2791;1;1;2
2792;1;2;2
2793;2;2;2
2794;1;2;1
2795;2;2;2
2796;2;2;2
2797;2;1;1
2798;1;1;2
2799;1;2;2
2800;1;2;2
2801;1;2;1
2802;1;1;2
2803;2;2;1
2804;2;1;2
2805;1;2;1
2806;1;1;2
2807;1;1;1
2808;2;2;2
2809;2;2;1
2810;1;2;1
2811;1;1;1
2812;2;2;1
2813;1;1;1
2814;1;2;2
2815;1;2;2
2816;2;2;2
2817;2;2;2
2818;1;1;1
2819;1;1;2
2820;2;1;2
2821;2;1;1
2822;2;2;1
2823;2;2;1
2824;1;1;1
2825;1;1;2
2826;2;2;1
2827;1;1;1
2828;1;2;1
2829;2;2;2
2830;2;2;2
2831;1;2;2
2832;2;2;1
2833;1;1;1
2834;1;2;1
2835;1;1;1
2836;2;1;2
2837;1;1;1
2838;2;1;2
2839;1;1;1
2840;2;1;1
2841;2;1;2
2842;1;2;1
2843;2;2;1
2844;1;1;1
2845;1;2;2
2846;2;2;1
2847;1;1;1
2848;1;1;1
2849;1;1;2
2850;2;1;1
2851;2;1;1
2852;1;2;2
2853;1;2;2
2854;2;1;2
2855;2;2;1
2856;1;1;1
2857;1;2;1
2858;2;2;2
2859;2;1;2
2860;1;1;2
2861;1;2;2
2862;1;1;2
2863;1;1;1
2864;2;2;2
2865;1;2;2
2866;2;2;2
2867;1;2;2
2868;1;2;1
2869;2;1;1
2870;2;2;2
2871;2;2;2
2872;1;1;2
2873;2;2;1
2874;1;2;2
2875;2;1;2
2876;1;2;1
2877;1;2;2
2878;2;1;2
2879;1;1;2
2880;2;1;1
2881;2;2;2
2882;1;2;2
2883;2;1;1
2884;1;1;2
2885;2;1;2
2886;1;1;2
2887;1;2;1
2888;1;1;1
2889;1;2;1
2890;2;2;1
2891;1;1;1
2892;2;1;2
2893;1;2;2
2894;2;1;1
2895;2;1;2
2896;2;2;1
2897;2;2;1
2898;1;1;1
2899;2;2;1
2900;1;2;1
2901;2;2;1
2902;1;2;1
2903;2;1;2
2904;2;1;1
2905;1;1;2
2906;1;2;1
2907;2;2;2
2908;2;2;1
2909;1;1;1
2910;1;2;1
2911;2;1;2
2912;1;1;2
2913;1;2;1
2914;2;2;2
2915;2;1;1
2916;1;2;1
2917;2;2;2
2918;2;2;2
2919;1;2;2
2920;1;2;2
2921;1;1;1
2922;1;1;2
2923;2;1;1
2924;2;2;2
2925;2;1;2
2926;2;2;1
2927;2;1;2
2928;1;1;1
2929;2;2;2
2930;1;2;1
2931;1;1;1
2932;1;1;1
2933;1;1;1
2934;1;2;1
2935;2;1;1
2936;1;1;1
2937;2;1;1
2938;1;1;2
2939;1;1;2
2940;2;2;1
2941;1;1;2
2942;2;1;2
2943;1;1;2
2944;2;1;1
2945;1;2;2
2946;2;1;2
2947;2;1;1
2948;1;2;2
2949;1;1;2
2950;1;1;1
2951;1;1;1
2952;2;2;1
2953;2;1;2
2954;1;1;1
2955;1;1;2
2956;2;2;2
2957;2;2;1
2958;2;2;1
2959;1;2;2
2960;1;2;2
2961;2;2;2
2962;2;1;1
2963;1;1;1
2964;2;1;1
2965;2;1;2
2966;2;1;1
2967;1;1;1
2968;2;1;2
2969;2;2;2
2970;2;1;1
2971;2;2;1
2972;2;1;1
2973;1;1;2
2974;2;2;2
2975;2;1;2
2976;1;2;1
2977;2;1;1
2978;1;2;2
2979;2;2;1
2980;1;2;1
2981;2;1;2
2982;2;1;1
2983;1;2;2
2984;1;1;2
2985;1;2;2
2986;1;2;2
2987;1;2;1
2988;2;1;1
2989;2;2;2
2990;1;1;1
2991;1;2;1
2992;1;2;1
2993;2;1;2
2994;2;1;1
2995;2;1;1
2996;1;1;2
2997;2;2;2
2998;1;1;1
2999;2;1;1
3000;1;2;1
3001;1;1;2
3002;2;2;1
3003;2;1;1
3004;2;2;1
3005;1;2;2
3006;2;1;2
3007;2;2;2
3008;2;2;1
3009;1;2;2
3010;2;1;1
3011;1;2;2
3012;2;2;1
3013;1;1;2
3014;1;1;1
3015;1;1;1
3016;1;1;2
3017;2;2;1
3018;2;2;1
3019;1;1;2
3020;1;1;2
3021;2;1;2
3022;2;1;2
3023;1;1;2
3024;2;1;2
3025;1;1;1
3026;2;2;2
3027;1;2;2
3028;1;1;2
3029;2;2;1
3030;1;2;1
3031;1;2;1
3032;1;1;1
3033;1;2;2
3034;1;1;2
3035;1;1;1
3036;2;1;1
3037;1;1;1
3038;2;2;2
3039;1;2;2
3040;1;1;1
3041;1;1;1
3042;2;2;2
3043;1;2;1
3044;2;2;1
3045;2;1;2
3046;1;1;1
3047;2;1;1
3048;2;2;1
3049;1;1;1
3050;2;1;2
3051;1;1;2
3052;1;1;2
3053;2;2;2
3054;1;2;1
3055;2;2;1
3056;2;1;1
3057;1;2;1
3058;1;1;2
3059;1;1;2
3060;2;1;2
3061;1;1;2
3062;1;2;1
3063;2;2;2
3064;2;2;1
3065;2;1;1
3066;2;2;1
3067;1;1;2
3068;1;2;2
3069;2;2;1
3070;2;1;2
3071;2;2;1
3072;2;2;2
3073;2;1;2
3074;1;1;1
3075;2;2;2
3076;1;2;2
3077;1;2;1
3078;1;2;2
3079;2;1;2
3080;1;1;1
3081;1;2;1
3082;2;1;2
3083;2;2;1
3084;1;2;1
3085;1;1;1
3086;2;2;2
3087;2;1;1
3088;2;2;1
3089;1;1;1
3090;2;1;1
3091;1;1;2
3092;1;2;2
3093;1;1;1
3094;1;2;1
3095;2;2;1
3096;1;2;2
3097;2;2;1
3098;1;2;2
3099;2;2;1
3100;1;2;1
3101;2;1;1
3102;2;2;1
3103;2;2;2
3104;2;2;1
3105;1;2;2
3106;1;2;1
3107;1;1;2
3108;2;2;2
3109;2;1;1
3110;2;2;2
3111;2;1;1
3112;1;1;1
3113;2;1;2
3114;1;1;2
3115;1;1;1
3116;2;2;2
3117;1;1;1
3118;1;2;1
3119;2;2;2
3120;1;1;2
3121;2;1;2
3122;2;2;1
3123;1;1;2
3124;1;2;1
3125;2;1;2
3126;2;1;1
3127;1;1;1
3128;2;2;1
3129;2;2;2
3130;2;2;1
3131;1;1;2
3132;2;2;1
3133;2;2;2
3134;1;2;2
3135;1;2;1
3136;1;1;2
3137;2;2;2
3138;1;1;2
3139;2;2;1
3140;1;2;2
3141;2;1;1
3142;1;2;1
3143;1;1;2
3144;1;2;2
3145;2;2;1
3146;1;2;2
3147;1;1;1
3148;2;2;1
3149;1;1;2
3150;1;2;1
3151;2;1;1
3152;2;1;2
3153;2;2;2
3154;1;2;1
3155;2;2;1
3156;1;2;2
3157;1;2;2
3158;2;2;1
3159;2;1;2
3160;1;2;1
3161;2;2;2
3162;2;1;1
3163;1;1;1
3164;1;2;1
3165;1;1;2
3166;1;1;2
3167;2;1;1
3168;2;1;1
3169;2;1;1
3170;1;2;2
3171;1;1;1
3172;2;2;2
3173;1;2;2
3174;2;2;2
3175;2;2;1
3176;2;2;1
3177;2;1;2
3178;1;1;1
3179;1;1;2
3180;2;2;1
3181;2;1;1
3182;1;2;2
3183;1;2;1
3184;2;2;1
3185;1;2;2
3186;2;1;2
3187;2;1;1
3188;2;2;1
3189;1;2;2
3190;1;2;2
3191;2;2;1
3192;1;2;1
3193;1;1;1
3194;2;1;1
3195;1;1;1
3196;1;1;1
3197;2;1;1
3198;1;1;2
3199;1;1;2
3200;1;2;2
3201;1;2;1
3202;2;1;2
3203;2;1;1
3204;1;1;2
3205;2;1;2
3206;1;2;2
3207;2;2;1
3208;1;2;1
3209;2;2;1
3210;1;2;2
3211;1;1;1
3212;1;2;1
3213;1;2;1
3214;1;2;1
3215;1;1;2
3216;1;1;2
3217;1;2;2
